n_hit,uid,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,omegaS0,pEhigh,phiH,phiHmul2010,pR,pT,rho,sageA15,sigma,smul,theta,zeta
37,aa94027ca59cc24e74f400ddd00f2539,4.763854175,0.652404696,1.167895858,0.24145825,1.055989562,24.81717018,0.200016187,1.305974326,0.22290913,0.680836857,0.549025326,0.456082525,0.179584956,0.516234283,0.164050112,1.227929665,0.097241627,0.006682106,0.069790212,0.016756206,0.742908809,0.033034185,0.344021576,1.750146091,3.136226186,0.704995957,0.001042182,0.005182828,0.952218602,0.000952369,1.021648795,0.09999037,0.36143763
37,ecdd24c35b0da0f6bdb9a10865d8d8c9,3.258019246,0.945186154,1.986631676,0.396406286,0.633759014,21.23081751,0.187120982,1.061484002,0.298338279,0.448881742,0.382547019,0.683745666,0.099849422,0.705081084,0.157313932,1.266141717,0.127819217,0.008746105,0.10857025,0.007124196,0.699060584,0.03640684,0.393410521,3.859670347,2.083402048,0.708043898,0.001065173,0.006119722,0.683864977,0.000780336,0.874306405,0.096172649,0.355234882
37,94ebf27bee7c7e902887ab48668978f4,4.380710976,0.465162708,1.259725957,0.329556038,1.285013402,26.70174785,0.174240947,1.132603375,0.218283618,0.676619845,0.535850052,0.355506892,0.373690121,0.750000517,0.118889348,1.24401768,0.121145966,0.007693861,0.049815225,0.010922494,1.002044606,0.037518047,0.364862807,2.565985722,2.538411822,0.733369605,0.001074657,0.003896182,0.859504242,0.000672318,1.103350821,0.103690999,0.341214331
37,bbd5c63eb3a22da3f94439bfa06dc862,2.917551741,0.44249147,0.969044739,0.363237506,1.626174711,25.05293057,0.214438347,0.914148933,0.216742916,0.818223849,0.398472771,0.01324335,0.362420751,0.569802789,0.108148646,1.186014526,0.133899985,0.00440469,0.0555424,0.016073962,1.173051136,0.030325434,0.339443467,3.429911144,2.494860243,0.709636496,0.001185158,0.004653259,0.859363476,0.000842003,0.944889447,0.10047513,0.366512513
37,2b28cbca734492f386721681338d9d5b,3.820698649,0.665152729,1.381389298,0.508740458,1.345904951,24.5624072,0.218893102,1.049066467,0.165866816,0.742942467,0.391794852,0.07852262,0.351952037,0.735594391,0.134495535,1.212159018,0.126658107,0.004402457,0.055979031,0.018429113,1.559066485,0.034730899,0.340826559,3.158434582,2.139050083,0.69805327,0.001260249,0.00486025,0.879969288,0.00072961,1.207725771,0.09005317,0.392376448
37,3ea2b1f0943334f08122c145efedcc87,4.046320801,1.192511053,1.133223672,0.369314762,0.853582947,21.62694545,0.207361968,1.143650938,0.234365937,0.748500897,0.631814533,0.070017461,0.438325139,0.594960766,0.148755644,1.164671866,0.11396955,0.004079383,0.020529943,0.013771542,1.302703767,0.033430577,0.327836504,2.352532717,1.986426807,0.711189504,0.001183371,0.004528981,0.865128844,0.000861538,1.188746213,0.087608693,0.410567532
37,121bdcbb6c0425c1610e02dd64d305b4,3.575832009,0.646913622,1.106655053,0.31173546,1.720940503,24.58402067,0.213824678,0.965993594,0.21661838,0.761282201,0.419375009,0.038957786,0.370299902,0.638241282,0.124089952,1.193464555,0.127404364,0.005122897,0.048068805,0.017553096,1.435006798,0.032274673,0.337651574,3.278935057,2.368549028,0.706540587,0.001213091,0.004649243,0.85455725,0.000773813,1.067463027,0.093477675,0.38885603
37,18c5190c756baea870b042db76cbcfba,4.279288511,0.573098802,1.214635966,0.424448247,0.953231954,25.91117871,0.18255695,1.154619054,0.200290648,0.706023914,0.566638658,0.331236713,0.408362874,0.732260608,0.119560949,1.245469924,0.1167322,0.006154503,0.048652353,0.010040793,1.073828541,0.038007038,0.360109348,2.667779501,2.462151106,0.732248509,0.001121278,0.00401211,0.904724031,0.000700575,1.162497003,0.101896538,0.368971819
37,bff217a4d5edf0eb92e61e4832d9b05c,3.845896053,0.763144255,1.666972075,0.330909383,1.469931243,21.60696685,0.199633943,1.209147622,0.180195108,0.664801452,0.574405812,0.261825587,0.304623009,0.768433868,0.179055192,1.242272003,0.123756388,0.005896262,0.068178782,0.013704269,1.28751976,0.036305288,0.351962458,2.81360636,2.459837282,0.729675417,0.001185404,0.005317917,0.776142633,0.000753599,1.038710369,0.096138282,0.338483348
37,c7eb322b7e83b5aa422038a491e4235a,3.836127274,0.716549171,1.323633381,0.445885558,1.172623664,22.29313474,0.211096059,1.124401581,0.180101627,0.751908958,0.49627609,0.141236168,0.287864641,0.738062899,0.138919448,1.221126572,0.126016725,0.004342264,0.043387566,0.015113883,1.393764879,0.035489946,0.343673865,2.910908204,2.00337211,0.714469543,0.00126229,0.00482639,0.836178376,0.000762101,1.135850243,0.092617234,0.373227841
37,60ecb9dfacf858a2f87aeb92d6d6263d,4.391235409,0.309179963,1.417441674,0.286303279,1.295307318,24.15839858,0.17584097,1.186395424,0.233858961,0.656086892,0.611492709,0.271276125,0.139526609,0.830670233,0.136215862,1.268239627,0.134456801,0.005978808,0.055157054,0.008909914,1.093305595,0.035919287,0.363027218,2.588053133,2.151934421,0.745359935,0.001159254,0.004459739,0.765701485,0.000672701,0.938261686,0.097980648,0.312968754
37,c7321aa17ae839a8163832f6954fbbd4,4.40654339,0.743118884,1.063739904,0.317792866,1.130170547,22.26008574,0.192210806,1.03102961,0.210996281,0.561721088,0.182914094,0.483474002,0.113061977,0.68338151,0.189373009,1.176307523,0.109529037,0.010058706,0.024439701,0.016157553,1.440043919,0.037289054,0.377822864,2.748554822,2.405972329,0.676755456,0.0011349,0.005141696,0.690563703,0.000812717,1.092749505,0.086965053,0.393614413
37,49c49fe0fae94690a59c7ed93c1ec288,4.988323091,0.505758969,1.124098759,0.296380618,1.068282932,23.96234886,0.20074303,0.973120562,0.318992449,0.790006298,0.384419699,0.075895633,0.291409023,0.61370572,0.161171507,1.18392461,0.122880092,0.004188148,0.032361738,0.016096897,1.322898911,0.0338829,0.342002662,2.208496558,3.25145582,0.695443817,0.001155999,0.004984328,0.890056037,0.001004003,1.246736361,0.088974034,0.336553157
37,bea96a7da762f4e7d2ac19cd8e46ba71,3.879634832,0.602336835,0.513276451,0.6501709,0.668007447,25.08121504,0.21414749,0.756689102,0.314060222,0.780449216,0.078544909,0.261471648,0.437696793,0.771920775,0.104469622,1.183013271,0.121423522,0.003842464,0.02947669,0.008908468,1.74431398,0.040175242,0.392407926,3.750168232,1.137876125,0.688125189,0.00129635,0.004515567,0.921878418,0.000946059,1.485584266,0.095674848,0.466119777
37,d3453efb19fd5e2eaff1ca0d25ce8187,3.123006416,0.636851742,0.535230182,0.528780811,0.635028024,24.14201679,0.173659355,1.094512985,0.183973378,0.709266147,0.509283676,0.3401667,0.138030234,0.554725343,0.141337778,1.259252052,0.113213477,0.006400628,0.061998215,0.009765965,0.161069353,0.036370611,0.372187472,1.844604755,2.510584276,0.751635767,0.001042914,0.005095275,0.780768792,0.000889058,0.754816497,0.110503333,0.319206126
37,3530d3e37d731419f8e44c3e6f625b0c,4.220420232,1.559710459,1.724766673,0.856687909,0.376749178,23.54020242,0.168662401,0.611469738,0.527370995,0.490324186,0.625269015,0.259663202,0.091566776,0.796336954,0.096999199,1.168463592,0.110864225,0.001999107,0.092858843,0.009121214,0.624703348,0.030066915,0.367488495,1.635605086,0.984638608,0.653425936,0.001087245,0.004473888,0.693578326,0.000614757,0.950605078,0.084202082,0.398005126
37,60d97367ff3b5e2ee886d34d3a2f4282,3.946104673,1.494884892,1.818995518,0.700676771,0.711517633,22.21485777,0.20181196,0.72783123,0.266103625,0.597421527,0.502260521,0.408978763,0.340530592,0.769677199,0.080331945,1.116925394,0.111484558,0.00113999,0.045345619,0.006891087,1.093978609,0.03573734,0.394467165,1.833026881,0.928158663,0.684552887,0.001320338,0.003627574,0.824166692,0.000801416,1.151258506,0.09047555,0.454412708
37,9b1f410bdc15086b5913cdf03a89b75c,3.653345663,1.63585949,1.97801164,0.991054395,0.531639682,25.61895426,0.200435564,0.733952741,0.307257862,0.569913915,0.607096421,0.286428517,0.17462186,0.985481077,0.066217335,1.153762383,0.133836573,0.001629622,0.069494537,0.011632291,0.678958131,0.033459075,0.376956102,1.219206457,0.71573057,0.653133439,0.001257555,0.003786437,0.798045853,0.000763114,0.886038986,0.087751168,0.405898693
37,55e682342388fb93da06c2ad7eb9d590,3.43583226,1.407434869,0.685576841,0.294171361,1.894630971,18.76403504,0.195928712,0.287659898,0.623099122,0.753771578,0.17214544,0.051522271,0.763816608,0.78234219,0.185929536,1.157889471,0.07925835,0.006201418,0.053701799,0.009720785,1.59384384,0.032684242,0.352789255,1.761712716,1.69689921,0.655177892,0.001010745,0.003941334,0.792904549,0.000773528,0.764042362,0.108648928,0.346821623
37,8c090758c851c276ad202e0d2662115f,3.652558326,1.042940592,1.622402954,0.507058799,1.143551458,24.0025242,0.199887863,1.024401598,0.202864857,0.540863011,0.269072085,0.681546842,0.562072176,0.591375726,0.201755157,1.105098914,0.108625745,0.003774303,0.050242788,0.008688641,1.204228016,0.033776787,0.363958964,2.268089717,1.323252932,0.714911458,0.001179223,0.003187566,0.609553604,0.00063453,1.077317729,0.100009676,0.414127625
37,b336be0ac09bc4c9cdb2c1a8f7020762,3.412722685,0.774618838,1.984113917,0.324768947,1.177362327,24.44289443,0.197185978,0.663762571,0.443416759,0.518686947,0.468296751,0.618686097,0.579542025,0.473391525,0.178028877,1.209361064,0.105568467,0.003327425,0.108395775,0.010969992,1.299369063,0.030676093,0.359248616,2.212703381,1.812905676,0.685259065,0.001059807,0.004801739,0.773713039,0.000548786,1.129903569,0.094477545,0.400130977
37,c543cdd34f8baffc802b1e2505aef3d3,2.207947858,0.883121069,1.483630055,0.27821672,0.963706365,26.54491627,0.1760904,0.544746956,0.457343025,0.509708272,0.399113672,0.542669049,0.67469152,0.673291104,0.135546353,1.260990031,0.135558275,0.004615817,0.117463853,0.0182648,0.784809786,0.042984498,0.352752271,2.934703767,2.943959595,0.710353649,0.001053773,0.003663665,0.721347226,0.000688038,0.823077138,0.092031326,0.376644666
37,64559c87c813fcc15a75d5dc0139f127,2.407924231,1.302034916,1.633071764,0.385494948,0.967580523,20.98125646,0.190128735,0.474214645,0.500099458,0.610293302,0.368530885,0.333665048,0.650312697,0.50387548,0.137766144,1.233818171,0.113485293,0.004882581,0.101315511,0.018171038,0.601226157,0.038924715,0.322430634,1.095879772,2.882288354,0.704702829,0.001082385,0.004012058,0.738057776,0.000848994,1.073006331,0.091216681,0.436183276
37,e3bb7ef18c3213be9851e4e3b1039245,2.209108538,1.041099395,1.748505359,0.493621498,0.789373685,23.28676216,0.208293606,0.650416268,0.418586576,0.536294581,0.190906373,0.110165884,0.391894431,0.575699916,0.203037085,1.266519679,0.116205021,0.005544784,0.116730548,0.021817903,0.906422581,0.040106702,0.319267811,1.758537078,2.693406088,0.713197168,0.001092715,0.004191621,0.725280005,0.000942598,0.848189892,0.094792613,0.420583584
37,3048edbe7f7774c6054741407f27c249,2.147370622,0.945660004,1.880139926,0.542480087,0.832708338,26.28704956,0.222194803,0.61936101,0.406559161,0.568634184,0.169431427,0.028020478,0.323188531,0.572546465,0.222457013,1.274881873,0.125869902,0.006353298,0.129592973,0.022715203,0.921807661,0.040954695,0.320153223,2.017222093,2.815229862,0.720614256,0.001155479,0.004522202,0.718864277,0.000878266,0.690651957,0.094996516,0.419951167
37,c206edee1b72ac6bf14bccd06586abeb,3.359447661,0.906303828,1.152258345,1.014784194,0.67977409,23.22975519,0.204933128,0.48044681,0.359968158,0.543801454,0.4228857,0.454093622,0.712424551,0.650468698,0.194971945,1.178573538,0.108663486,0.006612371,0.061707247,0.017864311,0.973947397,0.032792031,0.369060118,2.588534092,1.741411991,0.617341852,0.000969336,0.007040957,0.857753777,0.000424312,0.915943509,0.09831927,0.37148755
37,82a8f4b9e26de133a662d1520853e96e,3.611283563,0.586135467,2.48913922,0.98663984,0.456630833,25.23046867,0.178824232,0.512293034,0.366142894,0.511196929,0.633555303,0.136438017,0.260771173,0.684576838,0.151951567,1.227838173,0.133404711,0.002636829,0.054959527,0.01841767,0.84618758,0.030975405,0.349153224,1.913838772,2.699399421,0.652225769,0.000965834,0.003670984,0.594527088,0.000831842,0.724173599,0.095048974,0.340173064
37,fcf22ff0ecd80a526f53878e3b173b8b,4.008044377,1.391983012,1.802589066,0.643095637,0.564294857,28.31977785,0.164938742,0.524106277,0.38251462,0.486714306,0.593689412,0.449324418,0.08732368,0.604069121,0.175937693,1.187209493,0.103162646,0.003567905,0.034945537,0.022918439,0.736325218,0.032300202,0.359473261,1.925067664,1.325296766,0.698919464,0.000979035,0.002883322,0.688699507,0.000888082,0.880801376,0.092353555,0.334397672
37,47fd55e9ee10124637edc0999e1b872a,4.017025109,1.054873811,2.306340083,1.007624627,0.528356699,23.39890518,0.156714671,0.256429242,0.590157258,0.457377434,0.720324691,0.118529544,0.169575545,0.657130201,0.155865763,1.192794969,0.120906059,0.00069614,0.029919289,0.021244097,0.566249711,0.031999147,0.354299464,1.815286205,2.843914264,0.701810457,0.00095867,0.004141882,0.613386916,0.0008799,1.001857144,0.089738943,0.331840281
37,363db107e8f788942eab5e974ac285c7,3.684635202,1.466032119,2.33727427,0.688830034,0.704688448,27.56887324,0.165207098,0.453102947,0.522775794,0.442618403,0.64774735,0.303028811,0.241752776,0.530724785,0.161840538,1.162699398,0.106079668,0.003463786,0.028598292,0.021294129,1.108732233,0.032300411,0.370594894,2.33339698,1.948231756,0.705258402,0.00097091,0.00316694,0.745263179,0.000769327,0.927086047,0.095003722,0.32630261
37,15d411f971878b5772f870c30b61975e,3.583387978,1.486717618,1.626431342,0.939504855,0.418519208,28.27652027,0.15008895,0.460376369,0.512267005,0.495272008,0.576560518,0.200466281,0.026386851,0.663357829,0.127924792,1.129613768,0.103332136,0.001622059,0.036833227,0.021919705,1.070965697,0.032099279,0.328490733,1.559591911,2.317888234,0.683358419,0.000909869,0.002786072,0.632336284,0.000887502,0.738978319,0.090116631,0.328023148
37,e4ccd0e9728ceb0de117097b964720e4,3.525618024,1.819086427,2.508418226,0.765007955,0.352204329,31.62802728,0.179724767,0.546438136,0.484856321,0.456756195,0.757995498,0.300945443,0.094143355,0.526769734,0.203623823,1.149143272,0.100638952,0.004281631,0.007028207,0.021173879,1.229875597,0.031658964,0.366867176,3.102645539,0.277772991,0.731538732,0.000950037,0.003648963,0.783408517,0.000912992,0.747939252,0.098003353,0.367456836
37,1d259348aeec023f1ff81faeb87468e8,3.141295363,1.289392849,3.119596673,0.250981415,1.091789787,22.80471914,0.154662291,0.466329602,0.520567374,0.465559107,0.343209796,0.354786751,0.454148851,0.509868047,0.148038848,1.089350909,0.130859317,0.004150571,0.015965841,0.019967589,1.214844846,0.033813912,0.35618977,0.426568676,3.218595825,0.716065325,0.000891331,0.003410611,0.737100667,0.000991076,1.475665542,0.096705484,0.309666449
37,11b66043d2db37afd059b92452f2a189,3.881774723,1.137106634,2.327982262,0.285807146,1.156964781,27.13374398,0.173816157,0.530669554,0.431039388,0.597285965,0.366463411,0.521554702,0.505339039,0.388206183,0.178684958,1.183549891,0.110698436,0.000928017,0.032934048,0.015526773,1.446280301,0.036019611,0.346141025,0.61861205,3.231979998,0.747755494,0.001028222,0.004425409,0.752815323,0.001006438,0.661332747,0.094173455,0.330803065
37,4d531d15e81a89e736d158aae64db5dd,3.12190282,1.779997234,2.856411677,0.42657321,0.9621294,29.03152814,0.170221492,0.2853413,0.694067215,0.499842797,0.501573768,0.163881915,0.712781006,0.549232968,0.093044943,1.127409591,0.118349703,0.004991715,0.049861682,0.020713638,0.901876062,0.036343048,0.346347627,3.022032075,1.600671296,0.695181947,0.000961749,0.001949904,0.774950104,0.000780315,0.994385749,0.10356845,0.303658588
37,e7f242445596b5d6e9028c84f290f741,4.260216063,0.518215379,0.770678709,0.438402813,1.003719248,28.58508769,0.157302591,0.565982682,0.3515319,0.579191061,0.568673666,0.292959454,0.428721189,0.724583152,0.061728328,1.120866946,0.161757957,0.007485076,0.054806328,0.008094663,1.410434441,0.03267637,0.339574887,3.184820378,2.803535976,0.733897669,0.001028434,0.002802599,0.471460855,0.000740388,1.24380796,0.096312142,0.393662188
37,3f6379ec7b6f89080523e134c2b057fe,3.971521387,1.067962059,2.464944779,1.407685586,0.332651087,25.86230599,0.235894569,0.512282854,0.431622089,0.620744558,0.211626377,0.655126578,0.484276399,0.849547469,0.040760156,1.222227725,0.146265412,0.010915859,0.091723506,0.012729332,0.781722292,0.04116361,0.365316631,2.5550441,2.063827648,0.662913312,0.001225948,0.006952698,0.85925561,0.001116688,1.083805386,0.09468787,0.475015069
37,1ec58fe67315c670e8783b3b7727fe3b,4.323027878,0.719946525,1.037655516,0.601064809,0.821543959,27.8201152,0.168996507,0.73767239,0.241288817,0.575576974,0.506347302,0.327886413,0.459090407,0.736272658,0.046123221,1.137019692,0.164186582,0.007529805,0.059850655,0.009495128,1.387986574,0.032768717,0.347842551,2.803376695,2.514871883,0.73937416,0.00110623,0.003847799,0.515448144,0.00067193,1.237135805,0.09813662,0.404612195
37,47b9cc5c4b5738b7f8ee5878af2ee0b8,3.971541424,1.436902257,0.65987582,0.530263747,0.518646557,17.9719603,0.198998123,0.619428306,0.445707891,0.929977356,0.680332281,0.652555852,0.260168787,0.530720084,0.095072533,1.143672553,0.13978322,0.004200692,0.049637547,0.019964826,1.163432752,0.031924277,0.316117895,4.253113535,3.662202872,0.686318377,0.001050564,0.01787658,0.789071941,0.00046512,1.36136296,0.084199808,0.439515056
37,ee78a1aa6e62f1a172b9f94a8c02086e,3.080966814,1.061274085,1.339669023,0.983395134,0.44484216,22.62099307,0.188307538,0.691340911,0.363169337,0.473363133,0.553211352,0.277193922,0.772681896,0.586781177,0.127316274,1.232659441,0.116596945,0.006297706,0.108571273,0.017671885,1.499311762,0.033380588,0.366495161,2.972512485,3.348549754,0.629264007,0.000938448,0.006847258,0.874966727,0.000925551,1.26307858,0.089361664,0.404313313
37,e50b5f4cea9eee2c0461a49c9ca094e5,2.935566233,0.835978413,1.048385787,1.247594518,0.228094526,18.98401123,0.206882445,0.580579669,0.435502741,0.570221247,0.685886519,0.300200064,0.809948689,0.544601947,0.191916285,1.246559242,0.124635825,0.005724818,0.111695524,0.015554755,1.817093285,0.033877605,0.375464,4.103586764,1.701328844,0.605174285,0.001044183,0.008320377,0.861243311,0.000835047,1.222346641,0.08210706,0.428801783
37,8cce975caff9b1e330b3d844e44b2680,3.112394698,1.007953052,1.285330013,1.153195627,0.334032431,18.21006613,0.193740433,0.635446376,0.388379942,0.529230621,0.573645299,0.326086947,0.949440625,0.609327776,0.13317449,1.259641051,0.129184374,0.00734828,0.093980476,0.01643757,1.506342861,0.035067836,0.370878192,3.808038561,2.159830433,0.6310502,0.001009531,0.00805223,0.904245014,0.000854041,1.384708958,0.084771653,0.422160308
